station_id,date,year,ec_msm,tal_mgl,po4_mgl
A2H012Q01,1999-01-04,1999,55.4,110.3,0.907
A2H012Q01,1999-01-11,1999,57.4,133.4,0.496
A2H012Q01,1999-01-18,1999,59.9,134.5,0.484
A2H012Q01,1999-01-25,1999,147.0,94.2,0.056
A2H012Q01,1999-02-01,1999,35.3,95.3,0.039
A2H012Q01,1999-02-08,1999,61.0,129.9,0.251
A2H012Q01,1999-02-22,1999,58.9,114.7,0.493
A2H012Q01,1999-03-01,1999,62.0,131.9,1.09
A2H012Q01,1999-03-08,1999,55.5,116.9,0.748
A2H012Q01,1999-03-15,1999,47.9,102.4,0.3
A2H012Q01,1999-03-22,1999,58.6,114.7,0.357
A2H012Q01,1999-03-29,1999,61.4,114.0,0.467
A2H012Q01,1999-04-05,1999,65.2,121.1,0.436
A2H012Q01,1999-04-12,1999,63.1,116.569,0.423
A2H012Q01,1999-04-19,1999,63.9,124.069,0.606
A2H012Q01,1999-04-26,1999,51.6,97.6,0.415
A2H012Q01,1999-05-03,1999,60.0,116.3,0.716
A2H012Q01,1999-05-10,1999,62.2,119.8,0.357
A2H012Q01,1999-05-17,1999,62.8,118.9,0.234
A2H012Q01,1999-05-24,1999,58.4,94.9,0.193
A2H012Q01,1999-05-31,1999,61.2,126.8,0.168
A2H012Q01,1999-06-07,1999,63.6,120.7,0.368
A2H012Q01,1999-06-14,1999,64.9,143.2,0.243
A2H012Q01,1999-06-21,1999,60.6,129.1,0.231
A2H012Q01,1999-06-28,1999,64.4,132.3,0.486
A2H012Q01,1999-07-05,1999,66.6,121.0,0.342
A2H012Q01,1999-07-12,1999,65.2,133.6,0.344
A2H012Q01,1999-07-19,1999,66.4,132.0,0.41
A2H012Q01,1999-07-26,1999,66.8,125.5,0.358
A2H012Q01,1999-08-02,1999,67.2,120.9,0.426
A2H012Q01,1999-08-09,1999,65.4,134.9,0.329
A2H012Q01,1999-08-16,1999,65.6,134.5,0.517
A2H012Q01,1999-08-23,1999,58.6,131.5,0.489
A2H012Q01,1999-08-30,1999,65.4,120.4,0.6
A2H012Q01,1999-09-06,1999,68.1,124.607,0.537
A2H012Q01,1999-09-13,1999,67.7,137.5,0.456
A2H012Q01,1999-09-20,1999,67.5,137.3,0.461
A2H012Q01,1999-09-27,1999,65.0,127.484,0.437
A2H012Q01,1999-10-04,1999,65.2,133.048,0.4
A2H012Q01,1999-10-11,1999,64.9,130.5,0.46
A2H012Q01,1999-10-18,1999,66.3,125.966,0.442
A2H012Q01,1999-10-25,1999,64.2,123.773,1.656
A2H012Q01,1999-11-01,1999,60.8,123.118,0.976
A2H012Q01,1999-11-08,1999,65.9,114.143,0.385
A2H012Q01,1999-11-15,1999,60.1,116.661,0.631
A2H012Q01,1999-11-22,1999,63.9,108.331,0.401
A2H012Q01,1999-12-01,1999,47.8,87.055,0.264
A2H012Q01,1999-12-06,1999,50.7,93.743,0.268
A2H012Q01,1999-12-13,1999,50.5,87.95,0.048
A2H012Q01,1999-12-20,1999,60.1,113.492,0.759
A2H012Q01,1999-12-27,1999,50.1,95.419,0.702
A2H012Q01,2000-01-03,2000,48.4,94.168,0.982
A2H012Q01,2000-01-10,2000,42.9,78.363,0.446
A2H012Q01,2000-01-17,2000,45.0,78.077,0.242
A2H012Q01,2000-01-24,2000,62.8,123.868,0.475
A2H012Q01,2000-01-31,2000,59.3,118.465,0.94
A2H012Q01,2000-02-07,2000,59.7,127.895,0.738
A2H012Q01,2000-02-14,2000,43.5,90.399,0.296
